MnCl+ bl;MnCl+ gse;MnCl2 bl;MnCl2 gse;MnCl3- bl;MnCl3- gse
1,10823;-1609,127668;1,19158;-2070,172996;1,30779;-2531,040881
1,20823;-1609,742239;1,29158;-2070,619117;1,40779;-2531,332657
1,30823;-1610,153368;1,39158;-2070,931273;1,50779;-2531,534843
1,40823;-1610,434596;1,49158;-2071,148144;1,60779;-2531,673436
1,50823;-1610,625851;1,59158;-2071,295902;1,70779;-2531,767065
1,60823;-1610,753237;1,69158;-2071,394436;1,80779;-2531,828744
1,70823;-1610,835874;1,79158;-2071,458048;1,90779;-2531,86888
1,80823;-1610,887073;1,89158;-2071,497067;2,00779;-2531,893472
1,90823;-1610,91619;1,99158;-2071,519166;2,10779;-2531,907387
2,00823;-1610,930227;2,09158;-2071,529774;2,20779;-2531,914128
2,10823;-1610,934061;2,19158;-2071,532655;2,30779;-2531,916037
2,20823;-1610,93113;2,29158;-2071,530483;2,40779;-2531,914712
2,30823;-1610,923881;2,39158;-2071,524987;2,50779;-2531,911367
2,40823;-1610,913883;2,49158;-2071,517435;2,60779;-2531,906811
2,50823;-1610,902311;2,59158;-2071,508703;2,70779;-2531,901476
2,60823;-1610,889982;2,69158;-2071,499274;2,80779;-2531,895853
2,70823;-1610,877436;2,79158;-2071,489628;2,90779;-2531,89076
2,80823;-1610,865199;2,89158;-2071,480029;3,00779;-2531,885476
2,90823;-1610,853889;2,99158;-2071,470574;3,10779;-2531,880117
3,00823;-1610,844512;3,09158;-2071,461408;3,20779;-2531,874758
3,10823;-1610,8372;3,19158;-2071,452629;3,30779;-2531,869415
3,20823;-1610,831573;3,29158;-2071,444228;3,40779;-2531,865241
3,30823;-1610,809697;3,39158;-2071,43622;3,50779;-2531,861335
3,40823;-1610,803691;3,49158;-2071,428653;3,60779;-2531,857685
3,50823;-1610,785946;3,59158;-2071,421521;3,70779;-2531,854293
3,60823;-1610,784408;3,69158;-2071,414833;3,80779;-2531,851129
3,70823;-1610,818318;3,79158;-2071,408607;3,90779;-2531,848184
3,80823;-1610,817361;3,89158;-2071,402854;4,00779;-2531,845461
3,90823;-1610,816686;3,99158;-2071,397608;4,10779;-2531,842951
4,00823;-1610,816226;4,09158;-2071,392865;4,20779;-2531,840628
4,10823;-1610,815934;4,19158;-2071,388616;4,30779;-2531,838477
