bond length;gs energy;ex energy
1,32156;-1992,497643;-1992,319871
1,42156;-1992,776585;-1992,602331
1,52156;-1992,970697;-1992,796317
1,62156;-1993,104635;-1992,927332
1,72156;-1993,196014;-1993,01387
1,82156;-1993,25701;-1993,069312
1,92156;-1993,296491;-1993,103283
2,02156;-1993,321002;-1993,122882
2,12156;-1993,335145;-1993,132953
2,22156;-1993,342136;-1993,136912
2,32156;-1993,34412;-1993,137311
2,42156;-1993,342558;-1993,13703
2,52156;-1993,338592;-1993,141779
2,62156;-1993,332708;-1993,14463
2,72156;-1993,325217;-1993,145813
2,82156;-1993,316386;-1993,145368
2,92156;-1993,306166;-1993,143425
3,02156;-1993,294273;-1993,139815
3,12156;-1993,280505;-1993,134175
3,22156;-1993,26442;-1993,126253
3,32156;-1993,245388;-1993,115457
