wavelength;rate NO2
250,5;0
255,5;0
260,5;0
265,5;0
270,5;0
275,5;0
280,5;0
285,5;0,00E+00
290,5;5,19E-09
295,5;3,14E-07
300,5;4,66E-06
305,5;1,56E-05
310;4,89E-05
315,2;7,78E-05
320;1,33E-04
325,2;2,07E-04
330;2,83E-04
335,5;2,90E-04
340,5;3,26E-04
345,5;3,71E-04
350,5;4,58E-04
355,5;4,36E-04
360,5;5,05E-04
365,5;6,89E-04
370,5;6,00E-04
375,5;7,42E-04
380,5;6,09E-04
385,5;6,94E-04
390,5;6,99E-04
395,5;8,76E-04
400,5;6,34E-04
405,5;2,41E-04
410,5;1,11E-04
415,5;3,62E-05
420,5;5,23E-06
425,5;0,00E+00
430,5;0,00E+00
435,5;0,00E+00
440,5;0,00E+00
445,5;0,00E+00
450,5;0,00E+00
455,5;0,00E+00
460,5;0,00E+00
465,5;0,00E+00
470,5;0,00E+00
475,5;0,00E+00
480,5;0,00E+00
485,5;0,00E+00
490,5;0,00E+00
495,5;0,00E+00
500,5;0,00E+00
510,5;0,00E+00
520,5;0
530,5;0
540,5;0
550,5;0
560,5;0
570,5;0
580,5;0
590,5;0
600,5;0
610,5;0
620,5;0
