,s1.3,s2.3,s3.3,s4.3
0 km,3.3097772159837933e-06,3.608730858688531e-06,2.933187923821786e-06,3.9383853416725445e-06
5 km,3.9321640418677765e-06,4.347188179881787e-06,3.50802473268929e-06,4.758954431697076e-06
10 km,4.019514734272373e-06,4.454958733567728e-06,3.5892721356298185e-06,4.879287490602293e-06
15 km,4.010901737367727e-06,4.445237836988433e-06,3.5814714757322412e-06,4.868203161801556e-06
20 km,3.98309310876126e-06,4.412679741490655e-06,3.5562136310812825e-06,4.831580959516866e-06
25 km,3.98027562136012e-06,4.410187282895814e-06,3.556911454712792e-06,4.829931822085206e-06
30 km,4.00473348017934e-06,4.438867514143365e-06,3.5956158674594993e-06,4.8722398576304066e-06
40 km,4.185348425794046e-06,4.6347002003776545e-06,3.86094787820179e-06,5.15768260799011e-06
50 km,4.365600899895058e-06,4.8338560539271954e-06,4.079853881452885e-06,5.404177468364075e-06
