pH;Cl-1;H+1;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnCl+;MnCl2 (aq);MnCl3-;MnOH+;Na+1;NaCl (aq);NaOH (aq);OH-
1;0,50733;1,36E-01;3,90E-49;8,18E-05;9,40E-31;2,26E-18;1,21E-05;5,22E-06;8,25E-07;8,06E-15;0,42795;0,051945;3,46E-14;1,34E-13
2;0,50709;0,013666;3,94E-45;0,000082094;9,22E-28;2,29E-17;0,000011935;5,17E-06;8,05E-07;7,99E-14;0,42772;0,052182;3,49E-13;1,35E-12
3;0,50706;1,37E-03;3,94E-41;8,21E-05;9,21E-25;2,29E-16;1,19E-05;5,16E-06;8,03E-07;7,99E-13;0,42769;0,052215;3,50E-12;1,35E-11
4;0,50706;0,00013671;3,94E-37;0,000082113;9,20E-22;2,29E-15;0,00001192;0,000005164;8,03E-07;7,99E-12;0,42768;0,052218;3,50E-11;1,35E-10
5;0,50706;0,000013671;3,94E-33;0,000082113;9,20E-19;2,29E-14;0,00001192;0,000005164;8,03E-07;7,99E-11;0,42768;0,052219;3,50E-10;1,35E-09
6;0,50706;1,37E-06;3,94E-29;8,21E-05;9,20E-16;2,29E-13;1,19E-05;5,16E-06;8,03E-07;7,99E-10;0,42768;0,052219;3,50E-09;1,35E-08
7;0,50706;1,37E-07;3,94E-25;0,000082107;9,20E-13;2,29E-12;0,000011919;5,16E-06;8,03E-07;7,98E-09;0,42768;0,052219;3,50E-08;1,35E-07
8;0,50706;1,37E-08;3,94E-21;0,000082046;9,19E-10;2,29E-11;0,00001191;5,16E-06;8,02E-07;7,98E-08;0,42768;0,052219;3,50E-07;1,35E-06
9;0,50706;1,37E-09;3,84E-17;0,000080037;8,75E-07;2,18E-10;0,000011619;5,03E-06;7,83E-07;7,78E-07;0,42768;0,052219;0,000003498;0,000013522
10;0,50708;1,37E-10;8,10E-14;0,000016881;0,0000389;9,68E-11;2,45E-06;1,06E-06;1,65E-07;1,64E-06;0,42765;0,052217;0,000034978;0,00013523
11;0,50712;1,37E-11;2,88E-11;6,01E-07;0,000049342;1,23E-12;8,73E-08;3,78E-08;5,88E-09;5,85E-07;0,42737;0,052184;0,00034952;0,0013522
12;0,50745;1,37E-12;9,16E-09;1,91E-08;0,000049892;1,24E-14;2,78E-09;1,20E-09;1,88E-10;1,86E-07;0,42458;0,051846;0,0034694;0,013519
