Species;1,67 M;0,831 M;0,431 M;0,22 M;0,116 M;0,0576 M
Cl-1;1,1385;0,9689;0,73195;0,48549;0,3168;0,2105
H+1;0,099996;0,099997;0,099999;0,1;0,1;0,099999
Mn(OH)4-2;1,73E-45;2,7721E-45;3,2801E-45;2,83E-45;1,81E-45;9,16E-46
Mn+2;0,43164;0,36825;0,28164;0,18009;0,10385;0,053609
Mn2(OH)3+;1,60E-22;8,5948E-23;3,7677E-23;1,23E-23;3,83E-24;1,07E-24
Mn2OH+3;4,57E-11;4,3446E-11;3,095E-11;1,45E-11;5,07E-12;1,33E-12
MnCl+;0,43493;0,20249;0,082289;0,027041;0,0093574;0,0033169
MnCl2 (aq);0,54355;0,19008;0,053417;0,011134;0,0025518;0,00063341
MnCl3-;0,25977;0,070136;0,013642;0,001736;0,00024532;0,000039025
MnOH+;9,36E-11;6,6956E-11;4,3865E-11;2,50E-11;1,39E-11;7,30E-12
OH-;9,76E-14;1,2755E-13;1,5533E-13;1,78E-13;1,87E-13;1,85E-13
