Total Cl- concentration;Mn(OH)4-2;Mn+2;Mn2(OH)3+;Mn2OH+3;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq)
0,1;3,02E-24;1,05E-08;6,35E-17;5,76E-19;3,77E-12;2,70E-10;1,95E-11;5,29E-13;1,24E-09;2,82E-12;1,05E-10;1,66E-11;1,60E-10
0,15;3,27E-24;1,03E-08;6,59E-17;5,71E-19;3,70E-12;4,00E-10;4,34E-11;1,77E-12;1,26E-09;2,84E-12;1,04E-10;1,68E-11;1,59E-10
0,2;3,51E-24;1,01E-08;6,80E-17;5,64E-19;3,64E-12;5,26E-10;7,64E-11;4,17E-12;1,28E-09;2,85E-12;1,03E-10;1,68E-11;1,59E-10
0,25;3,78E-24;9,96E-09;6,98E-17;5,58E-19;3,56E-12;6,45E-10;1,18E-10;8,02E-12;1,29E-09;2,85E-12;1,01E-10;1,69E-11;1,58E-10
0,3;4,04E-24;9,78E-09;7,13E-17;5,50E-19;3,49E-12;7,60E-10;1,67E-10;1,37E-11;1,30E-09;2,85E-12;9,96E-11;1,69E-11;1,57E-10
0,35;4,30E-24;9,61E-09;7,26E-17;5,42E-19;3,41E-12;8,70E-10;2,23E-10;2,14E-11;1,30E-09;2,84E-12;9,80E-11;1,69E-11;1,56E-10
0,4;4,55E-24;9,43E-09;7,36E-17;5,32E-19;3,34E-12;9,75E-10;2,87E-10;3,14E-11;1,31E-09;2,83E-12;9,64E-11;1,68E-11;1,55E-10
0,45;4,81E-24;9,25E-09;7,44E-17;5,22E-19;3,26E-12;1,08E-09;3,56E-10;4,39E-11;1,31E-09;2,81E-12;9,47E-11;1,68E-11;1,53E-10
0,5;5,05E-24;9,06E-09;7,50E-17;5,11E-19;3,19E-12;1,17E-09;4,32E-10;5,92E-11;1,31E-09;2,79E-12;9,30E-11;1,67E-11;1,51E-10
0,55;5,29E-24;8,88E-09;7,53E-17;4,99E-19;3,12E-12;1,26E-09;5,13E-10;7,74E-11;1,31E-09;2,77E-12;9,13E-11;1,66E-11;1,50E-10
0,6;5,53E-24;8,69E-09;7,54E-17;4,86E-19;3,04E-12;1,35E-09;5,99E-10;9,87E-11;1,30E-09;2,75E-12;8,96E-11;1,65E-11;1,48E-10
0,65;5,06E-24;8,53E-09;7,10E-17;4,58E-19;3,03E-12;1,44E-09;6,89E-10;1,23E-10;1,27E-09;2,73E-12;8,87E-11;1,61E-11;1,44E-10
0,7;4,65E-24;8,35E-09;6,69E-17;4,30E-19;3,02E-12;1,54E-09;7,85E-10;1,51E-10;1,23E-09;2,71E-12;8,78E-11;1,57E-11;1,40E-10
0,75;4,25E-24;8,16E-09;6,30E-17;4,02E-19;3,02E-12;1,63E-09;8,86E-10;1,83E-10;1,20E-09;2,69E-12;8,70E-11;1,53E-11;1,36E-10
0,8;3,97E-24;7,96E-09;5,99E-17;3,77E-19;3,00E-12;1,72E-09;9,92E-10;2,19E-10;1,17E-09;2,67E-12;8,61E-11;1,50E-11;1,33E-10
0,85;3,62E-24;7,76E-09;5,62E-17;3,50E-19;2,99E-12;1,80E-09;1,10E-09;2,58E-10;1,14E-09;2,65E-12;8,52E-11;1,46E-11;1,30E-10
0,9;3,30E-24;7,56E-09;5,28E-17;3,25E-19;2,97E-12;1,89E-09;1,22E-09;3,02E-10;1,11E-09;2,62E-12;8,43E-11;1,42E-11;1,27E-10
0,95;3,00E-24;7,35E-09;4,95E-17;3,00E-19;2,96E-12;1,97E-09;1,33E-09;3,50E-10;1,07E-09;2,59E-12;8,33E-11;1,39E-11;1,24E-10
1;2,73E-24;7,13E-09;4,63E-17;2,77E-19;2,94E-12;2,05E-09;1,45E-09;4,01E-10;1,04E-09;2,56E-12;8,23E-11;1,35E-11;1,21E-10
