CF;total Mn conc;total Cl conc;pH;Mn+2;MnBr+;MnCl+;MnCl2 (aq);MnCl3-;MnCO3 (aq);MnF+;MnHCO3+;MnOH+;MnSO4 (aq)
1;1,23E-08;0,5495;8,296;7,93E-09;2,78E-12;1,13E-09;4,60E-10;6,95E-11;1,24E-09;2,57E-12;8,24E-11;1,56E-11;1,37E-09
1,05;1,29E-08;0,576975;8,286;8,19E-09;3,04E-12;1,23E-09;5,23E-10;8,30E-11;1,31E-09;2,76E-12;8,96E-11;1,58E-11;1,46E-09
1,1;1,35E-08;0,60445;8,276;8,44E-09;3,32E-12;1,33E-09;5,91E-10;9,84E-11;1,39E-09;2,96E-12;9,70E-11;1,61E-11;1,56E-09
1,15;1,41E-08;0,631925;8,267;8,67E-09;3,61E-12;1,44E-09;6,65E-10;1,16E-10;1,46E-09;3,16E-12;1,05E-10;1,63E-11;1,66E-09
1,2;1,48E-08;0,6594;8,257;8,90E-09;3,90E-12;1,55E-09;7,45E-10;1,35E-10;1,53E-09;3,36E-12;1,12E-10;1,65E-11;1,76E-09
1,25;1,54E-08;0,686875;8,249;9,10E-09;4,21E-12;1,67E-09;8,30E-10;1,57E-10;1,61E-09;3,56E-12;1,20E-10;1,67E-11;1,87E-09
1,3;1,60E-08;0,71435;8,24;9,30E-09;4,54E-12;1,78E-09;9,20E-10;1,81E-10;1,68E-09;3,77E-12;1,29E-10;1,68E-11;1,97E-09
1,35;1,66E-08;0,741825;8,232;9,48E-09;4,87E-12;1,90E-09;1,02E-09;2,08E-10;1,75E-09;3,98E-12;1,37E-10;1,70E-11;2,08E-09
1,4;1,72E-08;0,7693;8,224;9,66E-09;5,21E-12;2,03E-09;1,12E-09;2,37E-10;1,83E-09;4,19E-12;1,46E-10;1,72E-11;2,18E-09
1,45;1,78E-08;0,796775;8,217;9,82E-09;5,56E-12;2,15E-09;1,23E-09;2,69E-10;1,90E-09;4,40E-12;1,54E-10;1,73E-11;2,29E-09
1,5;1,85E-08;0,82425;8,209;9,96E-09;5,92E-12;2,28E-09;1,34E-09;3,04E-10;1,97E-09;4,62E-12;1,63E-10;1,74E-11;2,40E-09
